Brand & Model + Spec,Unit Price,Seller
"Lenovo	 IdeaPad Slim 3., 13Th Gen Intel Core I7-13620H 15.3 Inch(38.8Cm) WUXGA IPS Laptop,16GB RAM,512GB SSD,Windows 11,Office Home 2024.",Rs. 62999,""""
"Dell  Inspiron., Dell Inspiron 3530, Intel Core i5-1334U, 13th Gen, 16GB RAM, 1TB SSD, FHD,Windows 11, MS Office 24.",Rs. 57299,""""
"HP FA 2703TX, HP Victus fa2703tx 13th Gen Intel Core i5-13420H  NVIDIA RTX 2050 Gaming Laptop Upgradable 16GB DDR4 512GB SSD 144Hz IPS 300 nits 15.6 / 39.6cm Win11  M365 Office24 Mica Silver",Rs. 59000,AVS Infomedia6397301845
"HP FA 2700 TX, VICTUS
13th Gen.Corei5/16GB/512GB/15.6 / Backlit KBD/6GB NVIDIA GeForce RTX 3050/W11 MSO/Silver",Rs. 66000,""""
"HP EK 1074 TU, HP Pavilion x360 13th Gen Intel Core i5-1335U (16GB DDR4 512GB SSD) FHD IPS Micro-Edge 14 INCH  / Touchscreen 2-in-1 Win11 Office21 Silver ek1074TU Iris Xe FPR 5MP Camera Laptop",Rs. 63500,""""
"HP FA 1278 TX, HP Intel Core 5 13th Gen - ( 16 GB / 512 GB SSD/Windows 11 Home 6 GB Graphics NVIDIA GeForce RTX NVIDIA GeForce RTX 4050) 15-fa1278TX Gaming Laptop  15.6 inch  Navy Blue With MS Office",Rs. 69500,""""
"HP Pavilion x360, 13th (i5/16GB DDR4, 1TB SSD) FHD, 14'' Touchscreen 2 in 1/Win 11/Office 21 ,  ek1010TU",Rs. 71550,Panacea Innovative Technologies9990666334
"HP 255 G10, Hp 255g10  athlon  8gb  256gb LED 15.6 INCH   win11sl",Rs. 21000,AVS Infomedia6397301845
"HP  OmniBook X, Snapdragon® X Elite X1E-78-100,14inch(35.6 cm),2.2K Touch Display,IPS,16GB LPDDR5x,1TB SSD (14-fe0121QU)",Rs. 119500,Mashiva Tech.9990666322
"Microsoft  Surface Laptop, (7th Edition) - Windows 11 Home Copilot   PC - 15” LCD PixelSense Touchscreen - Qualcomm Snapdragon X Elite (12 Core) - 16GB RAM - 512GB SSD - Graphite - ZHH-00048",Rs. 159500,""""
"HP FD-0467 TU, HP 15, 13th Gen Intel Core i5-1334U Laptop(16GB DDR4, 512GB SSD WIN OFFICE LED 15.6",Rs. 51990,AVS Infomedia6397301845
"HP FD-0466 TU, HP 15, 13th Gen Intel Core i5-1334U Laptop 8GB DDR4 512GB SSD Antiglare 15.6 LED  FHD Win 11 M365 BasiC 1yr Office Home 24 Silver 1.59kg Iris Xe FHD Cam fd0466tu",Rs. 46000,""""
"HP EP-0341 TU, HP LAPTOP  14-EP0343U i3 13TH / 8GB RAM /512GB SSD / 14 LED / WIN11 MSO / SILVER",Rs. 36000,""""
"DELL Inspiron 5430, i5,13th Gen,16GB LPDDR5,512GB SSD,Win 11 MSO2,McAfee 15 Month/Platinum Silver.",Rs. 64499,Mashiva Tech.9990666322
"Dell Inspiron., 13th Gen Intel Core i5,1334U,16GB DDR4, 512GB SSD,Win 11 Mso.",Rs. 51490,""""
"Apple   MacBook Air, (15-inch, Apple M4 chip with 10-core CPU and 10-core GPU, 16GB Unified Memory, 256GB)",Rs. 120500,Panacea Innovative Technologies9990666334
"HP EP-0340, HP 14-ep0340TU Laptop / Silver / 13th Generation Intel Core i5 processor / Windows 11 Home / 16 GB DDR4 RAM / 512 GB SSD / 14inch diagonal  FHD display / Intel UHD Graphics / BG6D3PA  NO BAG",Rs. 51900,AVS Infomedia6397301845
"Lenovo ThinkPad E14, Intel Core i7 12th Gen Laptop (16GB RAM/1TB SSD/Windows 11 Home/MS Office H",Rs. 99000,Mashiva Tech.9990666322
"DELL Vostro 3520, Laptop, Intel Core i3-1115G4 Processor/8GB DDR4/512GB SSD Win 11 MSO21",Rs. 36999,""""
"Lenovo  Thinkbook 16, AMD Ryzen 7 16GB RAM/512GB SSD/Windows 11 Home/Office H",Rs. 56550,Panacea Innovative Technologies9990666334
"LENOVO E14, Thinkpad E14	21JKS13F00	i3-1315U	8GB	512GB SSD	Win 11 Pro	14 LED",Rs. 53200,AVS Infomedia6397301845
"LENOVO  e14, Thinkpad E14	21JKS1SK00	i5-1335U  	16 GB 	512GB SSD	Win 11 Pro / 3 Year	14 LED",Rs. 76200,""""
"MSI Katana A17 AI, AMD 8th Gen. Ryzen 9 8945HS,Built-in AI, 44CM Laptop(16GB/1TB NVMe SSD/Windows 11 Home/Nvidia GeForce RTX4050, 6GB GDDR6) B8VE-884IN",Rs. 99499,Mashiva Tech.9990666322
"Acer Nitro V., NITRO V 15, AMD Ryzen 7-7735HS octa-core processor, NVIDIA GeForce RTX 4050- 6 GB GDDR6,16GB DDR5, 512GB,Win 11 Home.",Rs. 76999,""""
"MSI  Katana 17, Intel 13th Gen. i7-13620H, 44CM FHD 144Hz Gaming Laptop (16GB/512GB NVMe SSD/Windows 11 Home/Nvidia GeForce RTX2050, 4GB GDDR6), B13UCXK-256IN",Rs. 66700,Panacea Innovative Technologies9990666334
"Lenovo IdeaPad Slim 3., 13Th Gen Intel Core I7-13620H 15.3 Inch(38.8Cm) WUXGA IPS Laptop,16GB RAM,512GB SSD,Windows 11,Office Home 2024.",Rs. 62999,Mashiva Tech.9990666322
"DELL Vostro 3520, Laptop, Intel Core i3-1115G4 Processor/8GB DDR4/512GB SSD Win 11 MSO21",Rs. 36999,""""
"HP 250 RG9, I3-13TH // 16GB // 512GB // 15.6 // DOS",Rs. 29900,AVS Infomedia6397301845
"HP FD 0467TU, HP 15, 13th Gen Intel Core i5-1334U Laptop(16GB DDR4, 512GB SSD WIN OFFICE LED 15.6",Rs. 52000,""""
"DELL 3520 VOSTRO, Dell Vostro 3520 i3 Laptop Core i3 13th 8GB 512GB 15.6 W11 MSO 1 Yr Warranty",Rs. 30600,""""
"DELL 3440 LATITUTE, Dell me lattitude 3440 i3 12 gen // 8GB // 512 // 14 INCH // dos- 1YEAR ADP",Rs. 27900,""""
"ASUS  ROG Strix G17, AMD Ryzen 7-6800H, RTX 3050 4GB Graphics, Gaming Laptop (16GB/512GB SSD/Windows 11",Rs. 87900,Mashiva Tech.9990666322
"Lenovo V14, Intel Core i3 12th GenLaptop (8GB RAM/512GB SSD/Windows 11 Home",Rs. 33000,""""
"DELL Inspiron 5430, i5,13th Gen,16GB LPDDR5,512GB SSD,Win 11 MSO2,McAfee 15 Month/Platinum Silver.",Rs. 64500,""""
"Dell	 Inspiron., 13th Gen Intel Core i5,1334U,16GB DDR4, 512GB SSD,Win 11 Mso.",Rs. 51490,""""
"Apple   MacBook Air M4, (13-inch, Apple M4 chip with 10-core CPU and 10-core GPU, 24GB Unified Memory, 512GB)",Rs. 133950,Panacea Innovative Technologies9990666334
"ASUS  Vivobook S 15 OLED, 16:9,Core i9-13900H Processor 2.6 GHz,Light Laptop (16GB RAM/512GB SSD/Win 11/Office Home/Fingerprint/75WHr Battery),S5504VA-MA943WS",Rs. 83450,""""
"HP 14s, Core i3 12th Gen (8GB RAM/512GB SSD/FHD/14 (35.6 cm)/ Windows 11/ MS Office 21) dq5138TU Laptop",Rs. 37550,""""
"Lenovo Legion 5 Pro, Intel Core i7 11th Gen WQXGA Gaming Laptop (32GB/1TB SSD/8GB RTX 3070 82JD005LIN",Rs. 134900,Mashiva Tech.9990666322
"DELL Vostro 3520, Laptop, Intel Core i3-1115G4 Processor/8GB DDR4/512GB SSD Win 11 MSO21",Rs. 36990,""""
"Lenovo  Ideapad Slim 3, 13Th Gen Intel Core I7-13620H 15.3 Inch(38.8Cm) WUXGA IPS Laptop(16GB RAM/512GB SSD/Windows 11/Office (83K100CJIN)",Rs. 65498,Panacea Innovative Technologies9990666334
"MSI  Katana A17 AI, AMD 8th Gen. Ryzen 9 8945HS,Built-in AI, 44CM Laptop(16GB/1TB NVMe SSD/Windows 11 Home/Nvidia GeForce RTX4050, 6GB GDDR6) B8VE-884IN",Rs. 99450,Mashiva Tech.9990666322
"Acer  Nitro V., NITRO V 15, AMD Ryzen 7-7735HS octa-core processor, NVIDIA GeForce RTX 4050- 6 GB GDDR6,16GB DDR5, 512GB,Win 11 Home.",Rs. 76999,""""
"LENOVO  V14, CORE I3-13TH GEN 8GB 512 NVME LED 14'' DOS ADP 1 YEAR WARRANTY",Rs. 29900,AVS Infomedia6397301845
"LENOVO  V14, CORE I5-12TH 8GB 512 NVME LED 14'' DOS ADP 1 YEAR WARRANTY",Rs. 37200,""""
"LENOVO  V14, CORE I7-12TH  6GB RAM 512GB NVME LED 14'' DOS 1 YEAR ONSIDE WARANTY",Rs. 43000,""""
"Lenovo  IdeaPad Slim 3., 13Th Gen Intel Core I7-13620H 15.3 Inch(38.8Cm) WUXGA IPS Laptop,16GB RAM,512GB SSD,Windows 11,Office Home 2024.",Rs. 62999,Mashiva Tech.9990666322
"Apple MacBook Air, (13-inch, Apple M4 chip with 10-core CPU and 10-core GPU, 24GB Unified Memory, 512GB)",Rs. 139298,""""
"MSI  Thin 15, Intel 12th Gen. i5-12450H, 40CM FHD 144Hz Gaming Laptop (16GB/512GB NVMe SSD/Windows 11 Home/MSO 2021/NVIDIA GeForce RTX 2050, GDDR6 4GB ) B12UCX-2471IN",Rs. 53587,Panacea Innovative Technologies9990666334
"DELL 3440-LATITUTE, Dell me lattitude 3440 i3 12 gen // 8GB // 512 // 14 INCH // dos- 1YEAR ADP",Rs. 26000,AVS Infomedia6397301845
"DELL VOSTRO-3520, Dell Vostro 3520 i5 Laptop Core i5 12th 8GB 512GB 15.6 W11 MSO 1 Yr Warranty",Rs. 41890,""""
"DELL VOSTRO-3520, Dell Vostro 3520 i3 Laptop Core i3 13th 8GB 512GB 15.6 W11 MSO 1 Yr Warranty",Rs. 29900,""""
"HP FD-0467 TU, HP 15, 13th Gen Intel Core i5-1334U Laptop(16GB DDR4, 512GB SSD WIN OFFICE LED 15.6",Rs. 53000,""""
"HP FD-0466 TU, HP 15, 13th Gen Intel Core i5-1334U Laptop(18GB DDR4, 512GB SSD WIN OFFICE LED 15.6",Rs. 46000,""""
"HP FD-0465 TU, HP 15-FD0465TU-13th Gen Intel Core i3 8GB 512GB 15.6 FHD W11 MSO24 Silver",Rs. 33700,""""
"HP HP Laptop., 13th Gen Intel Core i5-1335U Laptop,16GB DDR5, 512GB SSD, Win 11, Office 21.",Rs. 67490,Mashiva Tech.9990666322
"HP  HP Laptop., 15, 13th Gen Intel Core i5-1335U Laptop,16GB DDR4,512GB SSD,Win11,M365,Office24.",Rs. 55490,""""
"HP  Pavilion 16, AI Laptop, Intel Core Ultra 5 125U (14th Generation) 16 GB LPDDR5,1TB SSD,16-inch (40 cm), WUXGA, 300 nits, 1080p FHD IR Camera, Backlit Kb, (Win11 Office) 16-af0056TU",Rs. 62568,Panacea Innovative Technologies9990666334
"Dell  Inspiron 3530., 13th Gen Intel Core i5-1334U Processor, 16GB DDR4, 512GB SSD, Win 11   Mso'21 .",Rs. 56490,Mashiva Tech.9990666322
"Dell Inspiron., 13th Gen Intel Core i5,1334U,16GB DDR4, 512GB SSD,Win 11   Mso.",Rs. 51490,""""
"DELL VOSTRO-350, Dell Vostro 3520 i3 Laptop Core i5 12th 8GB 512GB 15.6 W11 MSO 1 Yr Warranty",Rs. 41500,AVS Infomedia6397301845
"DELL VOSTRO-3520, Dell Vostro 3520 i3 Laptop Core i3 13th 8GB 512GB 15.6 W11 MSO 1 Yr Warranty",Rs. 29900,""""
"HP FD 0582 TU, HP 15s-Fd0582Tu 

Core i3-1315U	8GB 512GB SSD	Intel UHD Graphics Win11 Home",Rs. 35500,""""
"HP FD-0467 TU, HP 15, 13th Gen Intel Core i5-1334U Laptop(16GB DDR4, 512GB SSD WIN OFFICE LED 15.6",Rs. 53000,""""
"HP FD-0466TU, HP 15, 13th Gen Intel Core i5-1334U Laptop(18GB DDR4, 512GB SSD WIN OFFICE LED 15.6",Rs. 46000,""""
"MSI  Katana A17 AI, AMD 8th Gen. Ryzen 9 8945HS,Built-in AI, 44CM Laptop(16GB/1TB NVMe SSD/Windows 11 Home/Nvidia GeForce RTX4050, 6GB GDDR6)   B8VE-884IN",Rs. 99567,Panacea Innovative Technologies9990666334
"Dell	 3530, Inspiron 15",Rs. 67999,Mashiva Tech.9990666322
